{'chromosomes': array([6, 3, 2, 4, 1, 5]), 'fittness': 37}
{'chromosomes': array([3, 4, 2, 6, 1, 5]), 'fittness': 37}
{'chromosomes': array([3, 1, 6, 2, 4, 5]), 'fittness': 37}
{'chromosomes': array([6, 2, 3, 4, 1, 5]), 'fittness': 37}
{'chromosomes': array([6, 3, 1, 5, 4, 2]), 'fittness': 37}
{'chromosomes': array([3, 1, 5, 4, 6, 2]), 'fittness': 37}
{'chromosomes': array([2, 3, 4, 1, 6, 5]), 'fittness': 37}
{'chromosomes': array([4, 3, 2, 1, 5, 6]), 'fittness': 37}
{'chromosomes': array([4, 2, 3, 1, 6, 5]), 'fittness': 37}
{'chromosomes': array([3, 4, 2, 5, 6, 1]), 'fittness': 37}
{'chromosomes': array([3, 6, 1, 4, 5, 2]), 'fittness': 37}
{'chromosomes': array([2, 3, 4, 1, 5, 6]), 'fittness': 37}
{'chromosomes': array([4, 3, 6, 5, 1, 2]), 'fittness': 37}
{'chromosomes': array([4, 3, 1, 2, 6, 5]), 'fittness': 38}
{'chromosomes': array([3, 6, 4, 1, 2, 5]), 'fittness': 38}
{'chromosomes': array([4, 3, 1, 2, 5, 6]), 'fittness': 38}
